temperatura,vibracao,corrente_eletrica,rotacao,carga_maquina,tempo_operacao_horas,turno,tipo_equipamento,historico_manutencao,dias_desde_ultima_manutencao,falha_ocorrida,tempo_ate_falha_horas
75.33,1.372,32.61,1601.0,60.97,2382.5,tarde,esteira,2,32.0,0,710.0
82.24,2.211,35.85,2605.0,86.72,1143.1,tarde,CNC,0,9.4,0,512.1
62.98,1.926,23.13,2113.0,36.72,934.7,tarde,compressor,2,58.1,0,533.4
72.58,2.639,30.48,2597.0,45.22,2533.1,manha,CNC,4,82.4,0,394.0
74.25,2.588,28.52,2383.0,71.92,2220.8,tarde,CNC,1,32.5,0,476.9
74.43,2.732,26.91,2350.0,52.83,1874.0,manha,bomba,5,107.0,0,902.4
85.77,2.684,34.55,1445.0,87.16,3868.2,manha,esteira,3,48.8,0,387.9
69.85,3.132,33.68,1328.0,70.08,2129.7,noite,prensa,1,64.6,0,547.3
82.84,1.921,30.18,1952.0,61.85,873.6,manha,compressor,1,53.1,0,453.1
68.52,2.641,24.11,1926.0,39.22,1881.3,tarde,compressor,2,106.1,0,628.9
90.25,3.864,38.2,2169.0,85.18,3318.8,tarde,compressor,1,108.3,0,258.7
88.07,2.87,38.24,2504.0,89.61,2048.1,manha,CNC,3,74.7,0,357.0
76.62,3.534,30.58,2543.0,65.78,3283.8,noite,CNC,5,43.1,0,685.1
88.73,2.68,37.85,2118.0,91.57,3674.0,manha,compressor,3,51.7,0,308.5
80.63,3.781,31.12,2665.0,75.49,2134.3,noite,CNC,0,185.0,0,240.0
81.61,4.141,37.31,2512.0,96.64,2375.5,noite,bomba,0,141.7,1,1.0
74.28,1.827,24.43,2038.0,33.64,1965.5,manha,compressor,2,55.0,0,678.1
79.67,3.073,33.86,1476.0,92.05,3327.1,manha,esteira,1,22.2,0,448.3
83.77,2.203,28.43,1485.0,68.73,1926.2,manha,esteira,2,95.3,0,240.0
87.64,3.39,34.93,1990.0,83.94,3135.2,tarde,compressor,2,37.6,0,325.2
78.71,3.011,36.76,1532.0,83.69,2729.0,manha,esteira,0,125.0,0,449.0
77.66,2.35,32.79,1493.0,69.55,556.7,noite,esteira,3,32.2,0,686.9
85.61,2.924,34.19,1915.0,82.75,3238.4,manha,compressor,1,38.0,0,511.0
88.72,2.799,39.54,1847.0,77.15,2576.7,noite,compressor,4,20.3,0,375.1
77.14,2.777,28.18,2316.0,62.15,4808.7,manha,bomba,3,157.8,0,240.0
80.82,3.243,36.12,2729.0,83.3,1030.3,noite,CNC,4,25.7,0,431.5
80.1,3.586,30.5,2539.0,66.98,2756.1,manha,CNC,2,90.4,0,414.7
80.52,3.902,36.35,2477.0,78.13,1751.9,tarde,CNC,2,46.8,0,240.0
75.82,3.237,35.58,1723.0,89.82,611.8,tarde,esteira,2,38.4,0,794.7
88.81,3.117,37.61,2360.0,96.61,464.9,manha,bomba,2,36.8,0,564.2
85.31,3.462,33.57,1571.0,67.97,5368.7,noite,esteira,2,123.3,0,422.8
76.37,3.128,27.22,1559.0,50.39,2761.5,manha,esteira,1,250.1,0,287.6
76.78,3.078,34.06,2241.0,71.29,2088.8,tarde,compressor,4,114.9,0,240.0
82.01,3.782,36.33,2413.0,90.75,757.8,tarde,bomba,0,11.8,0,630.3
68.53,2.968,20.2,2422.0,40.37,5186.8,tarde,CNC,0,90.7,0,748.8
72.03,1.985,32.62,2412.0,53.23,1458.9,manha,CNC,2,47.1,0,711.2
74.38,2.848,29.58,2365.0,54.28,2840.6,manha,bomba,5,49.1,0,734.6
89.87,3.788,37.23,2277.0,93.52,2514.9,manha,compressor,2,61.2,0,470.7
84.54,2.506,34.65,2379.0,68.18,6591.0,manha,bomba,5,53.5,0,367.1
80.28,2.7,30.63,1683.0,73.42,2339.8,manha,esteira,4,74.8,0,453.3
62.9,1.951,21.2,2275.0,30.43,1680.0,noite,bomba,4,45.5,0,497.2
77.56,1.465,25.77,2562.0,53.84,2786.9,tarde,bomba,4,96.8,0,376.7
84.27,2.686,36.87,2465.0,93.71,2970.7,tarde,bomba,1,56.3,0,597.1
81.62,3.843,31.2,2045.0,69.93,9197.5,manha,compressor,2,57.1,0,307.6
75.28,2.2,29.28,2773.0,59.9,2315.2,manha,CNC,2,52.8,0,575.2
82.33,3.384,30.69,1993.0,75.07,1004.8,tarde,compressor,1,90.5,0,445.9
81.11,3.2,30.17,2713.0,66.67,1874.4,manha,CNC,7,40.2,0,682.3
83.62,2.182,34.44,1956.0,74.31,2783.1,manha,compressor,1,75.0,0,510.3
68.93,3.108,31.7,1431.0,58.76,3094.0,tarde,esteira,3,58.2,0,377.0
72.02,2.761,30.92,2506.0,65.22,702.7,tarde,CNC,0,124.6,0,613.0
79.04,2.82,29.55,2526.0,62.36,1730.6,noite,CNC,7,42.1,0,695.6
92.47,4.878,39.63,1780.0,95.45,6371.7,manha,compressor,3,98.1,0,240.0
88.84,3.665,38.02,2367.0,83.36,1266.5,tarde,compressor,0,66.4,0,516.3
62.04,1.813,19.9,2201.0,5.07,3921.1,manha,bomba,4,118.6,0,548.0
84.99,2.914,37.64,2524.0,90.42,1915.9,manha,bomba,2,56.9,0,488.2
77.17,2.21,29.64,1305.0,67.38,2400.7,tarde,esteira,3,39.2,0,486.8
65.21,1.904,27.17,2347.0,50.23,775.1,manha,bomba,4,39.0,0,747.2
67.38,3.103,27.67,2031.0,47.56,2037.3,tarde,compressor,1,62.2,0,859.2
78.88,2.746,26.52,1701.0,68.32,2762.4,tarde,esteira,2,53.7,0,728.2
83.56,3.102,35.3,2688.0,83.8,2333.4,manha,CNC,2,41.0,0,510.4
83.34,2.68,35.13,2496.0,66.86,2119.4,noite,CNC,2,63.1,0,523.5
80.0,2.596,27.27,2634.0,52.64,3337.1,tarde,CNC,0,5.3,0,805.6
69.41,1.253,23.56,1679.0,50.2,932.4,noite,esteira,3,47.5,0,872.2
69.5,3.207,23.46,2208.0,35.74,2841.0,tarde,compressor,3,54.9,0,556.9
74.35,2.624,32.45,2579.0,79.14,432.1,noite,CNC,2,14.2,0,735.6
74.2,1.864,29.78,2214.0,49.7,4561.2,manha,bomba,1,24.5,0,598.4
59.46,2.479,28.88,2578.0,33.54,2164.9,tarde,CNC,2,25.8,0,836.7
70.31,3.05,28.48,2472.0,53.35,3769.2,noite,bomba,3,51.7,0,618.6
71.44,2.128,23.82,1875.0,38.83,196.3,manha,compressor,2,45.0,0,865.1
80.32,3.783,32.13,2047.0,79.89,3462.1,manha,compressor,2,45.5,0,469.9
71.71,2.743,28.79,1941.0,44.49,1424.1,noite,compressor,1,14.4,0,893.4
73.41,2.743,29.61,2315.0,52.66,2410.6,tarde,bomba,0,103.7,0,266.4
81.56,2.894,37.52,2089.0,82.59,3494.6,tarde,compressor,3,121.2,0,309.0
67.76,2.567,29.47,2654.0,64.7,2274.0,tarde,CNC,3,18.0,0,861.6
76.03,2.453,31.06,2729.0,49.93,3253.1,noite,CNC,1,43.3,0,368.2
78.55,2.759,32.56,1392.0,69.56,1934.2,noite,prensa,3,44.8,0,619.4
77.05,2.595,27.0,1693.0,51.84,4768.4,tarde,prensa,1,70.0,0,557.8
81.56,3.313,31.04,2516.0,84.19,2161.1,manha,bomba,5,38.9,0,556.0
76.59,2.192,29.2,2706.0,61.4,2188.7,manha,CNC,3,97.5,0,570.9
75.5,3.041,28.14,1162.0,55.82,2214.3,tarde,prensa,4,23.1,0,758.0
72.32,2.394,26.0,1612.0,54.07,2369.6,noite,esteira,3,82.7,0,467.7
78.6,2.414,35.26,1715.0,82.38,966.9,tarde,esteira,2,68.6,0,422.8
72.7,2.432,29.51,2022.0,64.11,1238.4,manha,compressor,1,19.9,0,706.1
82.67,2.478,26.01,2571.0,49.06,4093.9,manha,CNC,1,42.0,0,579.2
80.65,3.244,29.4,2570.0,65.29,3768.0,tarde,CNC,0,21.8,0,749.6
79.84,3.199,22.52,990.0,36.66,3629.1,noite,prensa,1,164.3,0,595.9
83.88,3.38,30.79,2079.0,66.65,3080.4,manha,compressor,1,47.8,0,387.9
81.41,2.992,34.53,2473.0,86.05,1704.0,tarde,CNC,0,38.1,0,519.4
78.26,2.665,32.07,2087.0,70.85,1591.3,noite,compressor,0,12.2,0,846.2
73.98,3.337,29.13,2430.0,53.52,2308.3,noite,bomba,2,66.0,0,926.8
82.37,3.174,38.78,2660.0,86.3,4461.6,manha,CNC,4,41.4,0,418.3
88.52,3.088,39.25,1408.0,93.88,2668.5,noite,esteira,4,82.1,0,395.9
78.41,2.811,31.11,1273.0,81.81,1195.6,tarde,esteira,4,134.3,0,240.0
71.98,2.693,32.86,1668.0,68.14,821.3,noite,esteira,0,89.6,0,457.2
80.27,2.878,38.55,1837.0,88.63,3836.5,manha,compressor,4,24.7,0,243.6
73.98,2.672,30.89,2404.0,58.32,5266.9,tarde,bomba,1,38.4,0,519.5
76.38,2.678,32.28,2617.0,75.93,674.5,tarde,bomba,4,18.4,0,907.6
73.7,2.847,33.5,2414.0,64.09,3910.6,manha,bomba,4,31.9,0,460.7
87.49,2.796,35.81,2765.0,94.19,3037.9,tarde,CNC,0,100.8,1,1.0
76.68,2.097,35.87,2151.0,76.77,1391.6,tarde,compressor,5,33.7,0,769.8
81.24,2.649,33.56,2446.0,66.38,2689.8,tarde,CNC,3,82.6,0,339.2
67.79,2.12,29.18,2598.0,53.94,1061.9,manha,bomba,0,36.7,0,768.1
83.27,3.149,34.0,1967.0,93.74,2058.6,tarde,compressor,1,88.4,0,240.0
77.12,2.183,33.87,2599.0,76.72,2387.2,manha,CNC,5,24.2,0,522.9
79.45,3.127,34.64,2721.0,73.88,4742.4,noite,CNC,3,20.7,0,354.3
85.39,3.148,33.29,2216.0,74.06,1995.8,noite,bomba,1,163.4,0,240.0
81.31,3.291,34.98,2776.0,83.77,1496.5,manha,CNC,5,26.1,0,519.2
71.47,2.271,29.27,1267.0,60.62,2902.7,manha,prensa,0,102.4,0,450.4
81.13,2.813,31.59,2601.0,72.33,3304.3,manha,bomba,2,73.9,0,424.3
86.02,3.945,36.08,2233.0,86.87,1460.1,tarde,compressor,1,31.0,0,638.1
65.45,1.841,26.4,2384.0,34.56,1163.4,noite,bomba,5,31.3,0,847.2
72.17,1.954,25.72,2607.0,47.57,1234.0,tarde,CNC,1,43.1,0,502.5
90.62,3.903,36.09,1091.0,81.69,4751.9,manha,prensa,1,103.8,1,1.0
72.75,3.127,25.21,2370.0,64.34,3220.1,manha,bomba,5,37.8,0,809.4
79.32,2.222,29.77,1392.0,65.34,1913.4,manha,esteira,4,82.3,0,396.8
79.29,2.377,29.29,2576.0,49.57,4304.4,noite,CNC,2,68.1,0,563.2
80.04,3.217,35.06,2231.0,74.52,1452.6,tarde,bomba,3,69.5,0,638.5
72.29,3.089,26.82,2216.0,57.12,2252.7,tarde,bomba,3,166.9,0,308.3
85.92,3.127,34.12,1408.0,74.35,1049.3,manha,prensa,3,78.0,0,499.4
90.42,3.676,39.0,2173.0,93.21,4197.9,noite,bomba,6,68.8,0,240.0
87.32,3.183,35.85,1907.0,92.28,1374.9,manha,compressor,1,12.2,0,609.3
84.85,3.913,32.37,2501.0,85.78,1395.9,noite,CNC,4,121.1,0,251.7
84.88,3.732,29.19,2227.0,66.26,2941.2,noite,compressor,1,89.8,0,340.7
73.64,2.143,28.28,2286.0,68.43,396.5,tarde,bomba,3,67.1,0,470.4
71.61,2.505,24.78,2048.0,28.54,888.4,noite,compressor,2,42.8,0,628.7
77.74,2.705,33.38,2696.0,75.28,3561.8,manha,CNC,0,12.9,0,461.4
64.5,1.616,26.16,1583.0,50.51,1221.2,tarde,esteira,3,76.8,0,811.1
82.78,3.236,34.4,1165.0,87.66,7800.2,manha,prensa,3,54.3,0,251.6
80.07,2.881,32.23,2637.0,59.78,2605.8,tarde,CNC,4,159.1,0,267.0
83.34,3.531,35.02,2516.0,85.34,636.7,manha,bomba,2,82.6,0,419.8
81.77,2.345,34.59,2488.0,78.13,278.0,manha,CNC,2,59.2,0,510.3
82.44,2.764,31.58,2221.0,75.78,5417.4,manha,bomba,1,190.0,0,428.3
78.26,2.642,28.17,1970.0,61.3,2604.1,manha,compressor,2,54.1,0,802.4
77.06,2.521,29.51,2303.0,48.77,2091.9,tarde,bomba,4,150.6,0,374.0
78.09,2.385,26.7,1699.0,45.31,2598.4,tarde,esteira,3,10.3,0,660.4
74.89,2.968,29.63,1582.0,59.12,632.5,manha,esteira,2,213.3,0,240.0
81.28,3.145,30.89,2606.0,60.55,2298.5,noite,CNC,0,103.4,0,469.7
82.52,2.687,35.25,1348.0,73.88,1281.8,noite,prensa,3,28.3,0,250.8
76.64,2.358,30.43,2863.0,51.4,2211.5,manha,CNC,2,177.5,0,334.6
73.39,3.225,30.86,2510.0,75.86,1733.8,tarde,CNC,0,7.7,0,689.3
86.83,2.63,34.76,2320.0,83.81,2517.7,tarde,bomba,1,21.2,0,283.1
74.76,2.919,24.66,2024.0,43.92,1912.4,noite,compressor,5,75.2,0,622.1
80.79,3.025,35.91,1525.0,87.7,1662.3,manha,esteira,4,121.6,0,362.0
69.68,2.643,27.9,1578.0,57.34,1185.6,noite,esteira,4,67.7,0,567.1
86.96,3.398,37.39,1954.0,95.08,656.1,manha,compressor,3,13.7,0,550.9
66.94,2.209,25.66,1285.0,43.11,547.7,manha,prensa,3,30.7,0,978.4
74.63,2.824,30.08,2207.0,62.59,911.5,tarde,compressor,2,37.2,0,589.6
74.7,2.625,35.63,2225.0,64.03,3402.6,tarde,bomba,2,72.9,0,748.4
72.58,1.591,23.35,2665.0,48.05,1138.7,noite,CNC,5,49.9,0,820.2
80.92,3.048,30.7,1135.0,63.43,1485.7,manha,prensa,1,115.5,0,264.5
77.53,3.165,30.44,2484.0,76.57,1495.1,manha,CNC,2,12.8,0,762.4
76.42,2.686,31.35,2769.0,65.32,1751.8,manha,CNC,1,82.9,0,621.4
75.87,2.46,26.27,2146.0,54.99,3064.7,manha,compressor,7,21.4,0,706.7
72.57,2.925,27.57,1081.0,49.46,1900.4,manha,prensa,3,135.8,0,312.9
75.21,3.347,28.15,1324.0,58.01,3778.3,tarde,prensa,4,83.6,0,325.7
72.66,2.183,32.91,1811.0,66.59,919.4,tarde,esteira,0,49.9,0,666.9
72.94,1.705,23.12,1246.0,41.71,3550.1,tarde,prensa,1,41.7,0,609.3
90.17,3.418,32.17,1019.0,79.91,5054.5,tarde,prensa,0,70.7,0,448.8
73.63,3.073,28.92,2331.0,67.23,2280.2,manha,bomba,6,113.2,0,240.0
87.12,3.512,37.82,1810.0,90.53,1080.3,tarde,compressor,2,68.3,0,343.1
71.4,2.027,28.75,1503.0,55.31,3100.6,manha,esteira,3,49.7,0,465.7
68.38,2.211,24.51,2361.0,39.33,2305.3,noite,bomba,1,26.1,0,898.3
81.81,3.15,36.39,2168.0,82.36,2783.4,manha,compressor,5,48.1,0,449.6
88.48,3.189,30.43,2518.0,81.54,3842.4,tarde,CNC,1,113.7,0,385.3
56.72,1.823,21.89,1617.0,30.16,1807.2,noite,esteira,0,92.2,0,693.1
77.58,3.273,33.58,2505.0,77.45,1626.1,tarde,CNC,2,123.7,0,240.0
77.2,2.733,26.27,1186.0,40.01,8670.7,tarde,prensa,1,25.0,0,708.2
85.15,2.624,34.52,2471.0,79.53,3124.4,tarde,CNC,1,13.6,0,668.4
90.7,3.381,35.94,2471.0,83.34,4233.0,manha,CNC,0,86.8,0,240.0
84.61,3.218,37.99,1609.0,94.24,3713.6,tarde,esteira,2,17.0,0,256.5
77.57,3.112,31.73,2729.0,49.93,4263.4,noite,CNC,1,123.6,0,355.4
69.48,3.023,30.95,2532.0,59.69,2840.6,noite,CNC,2,88.6,0,501.9
72.1,3.011,23.41,2447.0,44.79,3969.4,tarde,bomba,4,67.0,0,624.0
77.32,2.601,33.47,1647.0,70.55,1491.9,manha,esteira,2,22.2,0,782.8
76.6,3.646,32.07,2511.0,71.7,642.7,noite,CNC,2,54.4,0,588.6
77.48,3.207,30.04,2148.0,64.57,1244.7,tarde,compressor,2,48.2,0,665.4
87.73,3.494,33.62,1502.0,90.79,2100.0,manha,esteira,2,69.0,0,365.9
79.92,2.198,25.98,1236.0,42.52,1929.5,manha,prensa,4,148.0,0,642.1
69.12,2.279,25.24,2406.0,37.93,2313.4,manha,bomba,1,25.3,0,514.2
80.39,3.263,35.63,2373.0,79.31,1433.6,tarde,CNC,2,42.8,0,543.1
84.07,2.87,32.73,2677.0,82.34,445.5,manha,CNC,2,50.7,0,485.4
82.01,2.394,33.82,2582.0,81.44,1774.7,manha,CNC,4,128.5,0,318.8
83.4,1.724,32.33,2610.0,74.81,834.3,manha,CNC,3,58.5,0,508.0
77.31,2.789,31.2,2165.0,71.84,2252.7,noite,bomba,2,83.2,0,408.8
87.95,3.226,32.61,2723.0,84.93,2922.1,manha,CNC,1,135.1,0,436.0
76.86,1.943,29.29,2411.0,67.53,1752.5,manha,bomba,1,66.8,0,659.6
78.84,3.094,34.2,2140.0,83.26,1032.4,tarde,bomba,4,43.3,0,650.1
77.88,2.24,31.07,2550.0,59.72,2386.6,manha,bomba,2,118.2,0,343.6
79.52,2.755,29.62,2591.0,60.19,8941.9,noite,CNC,6,144.7,0,410.8
73.03,3.104,22.41,1611.0,38.16,3123.6,noite,esteira,4,79.0,0,587.4
80.08,3.377,36.46,1457.0,94.66,3262.2,tarde,esteira,6,33.1,0,424.3
71.71,1.873,25.32,1533.0,52.74,1635.4,tarde,esteira,0,40.2,0,634.4
77.88,2.475,34.06,2747.0,72.41,1310.0,manha,CNC,3,143.7,0,549.3
90.13,3.045,39.4,2659.0,88.01,4269.0,manha,CNC,2,88.5,0,415.1
76.43,2.092,28.75,1238.0,52.75,313.4,manha,prensa,3,45.3,0,842.2
84.65,2.944,38.42,2010.0,91.09,1403.6,manha,compressor,2,11.8,0,531.6
81.22,3.107,30.51,1702.0,67.39,5709.6,manha,compressor,4,89.7,0,240.0
78.66,1.812,27.57,2512.0,46.68,2167.9,tarde,bomba,0,79.3,0,341.7
86.62,2.776,36.06,2506.0,88.15,709.9,manha,bomba,3,88.6,0,288.3
71.2,1.701,30.35,1343.0,53.2,2973.7,manha,prensa,2,29.4,0,493.1
79.29,1.738,27.93,2230.0,54.67,1759.9,tarde,compressor,6,43.4,0,917.7
76.78,2.245,31.1,1097.0,65.88,585.9,tarde,prensa,3,108.6,0,431.3
81.54,2.562,32.65,2618.0,82.86,2645.1,manha,CNC,1,5.1,0,575.0
71.78,2.703,34.82,2341.0,79.09,2411.0,manha,bomba,2,43.0,0,557.1
85.93,3.215,34.86,2149.0,88.45,2326.2,manha,bomba,6,15.7,0,264.2
84.24,3.599,37.68,2551.0,98.82,3097.3,manha,CNC,5,26.6,0,240.0
81.45,3.452,32.29,2638.0,79.21,983.7,noite,CNC,4,98.4,0,641.1
80.1,3.317,35.5,2189.0,86.86,2807.5,noite,compressor,4,49.2,0,806.7
82.68,3.322,35.99,1305.0,80.43,2518.5,tarde,prensa,3,22.7,0,690.2
75.19,1.664,29.26,2295.0,54.72,4217.5,tarde,bomba,2,75.0,0,593.3
70.44,2.821,31.93,1372.0,58.37,1390.9,tarde,prensa,4,35.3,0,518.4
85.11,3.273,35.93,1520.0,95.24,4647.0,tarde,esteira,4,47.8,0,539.3
77.31,3.321,30.68,1856.0,62.61,3676.2,manha,compressor,2,61.9,0,470.2
88.61,2.038,38.43,1500.0,89.23,2114.7,manha,esteira,2,124.1,0,329.7
71.67,2.929,26.7,2748.0,55.17,2325.3,tarde,CNC,2,61.9,0,679.3
78.74,1.815,34.04,2739.0,68.21,339.2,tarde,CNC,3,40.9,0,700.0
72.8,3.228,35.93,1360.0,77.08,2285.1,manha,esteira,2,72.3,0,647.8
84.93,2.867,34.9,1366.0,94.57,3528.9,manha,esteira,1,75.5,0,387.6
70.13,2.225,29.58,2933.0,36.98,1912.6,manha,CNC,3,38.1,0,926.7
80.1,2.741,31.65,2280.0,70.96,4211.4,manha,bomba,2,49.2,0,502.1
77.16,3.153,28.25,2410.0,68.84,3004.2,tarde,bomba,1,53.2,0,486.6
91.82,3.567,33.7,1116.0,87.34,6700.9,tarde,esteira,4,111.1,0,240.0
66.2,2.55,24.43,2610.0,38.41,1458.3,tarde,bomba,1,5.6,0,608.3
77.33,2.365,27.56,2176.0,51.65,3333.2,manha,compressor,1,69.6,0,660.1
85.4,3.039,35.43,2285.0,91.01,852.9,manha,compressor,2,93.7,0,240.0
78.71,2.965,30.22,1912.0,71.9,2025.9,noite,compressor,2,108.9,0,240.0
79.65,3.439,34.14,2561.0,93.65,3109.5,tarde,bomba,1,14.6,0,569.3
72.82,2.751,35.45,1403.0,73.55,3455.4,manha,esteira,1,14.2,0,692.7
79.25,2.067,31.32,2301.0,61.83,1818.4,manha,compressor,3,34.0,0,557.4
74.69,1.983,25.36,2297.0,29.57,4475.4,noite,CNC,3,84.3,0,609.0
69.81,2.428,19.24,2733.0,19.93,5034.9,noite,CNC,3,100.7,0,610.0
74.89,2.985,31.3,1545.0,72.83,1469.8,noite,esteira,4,12.3,0,423.5
69.79,1.957,25.97,1607.0,54.41,2066.4,tarde,esteira,4,63.0,0,398.8
83.5,2.554,33.73,2696.0,81.77,1931.7,tarde,CNC,1,97.2,0,240.0
77.42,3.411,36.74,2712.0,82.52,1634.6,tarde,CNC,2,39.5,0,417.4
72.85,1.457,23.34,2700.0,34.41,4855.8,manha,bomba,3,66.4,0,525.2
84.84,3.396,35.56,2877.0,86.42,4824.0,tarde,CNC,0,19.8,0,572.7
62.38,0.924,21.4,1589.0,30.92,1973.6,tarde,esteira,3,78.8,0,846.0
78.92,2.412,28.55,2113.0,44.68,3323.6,manha,compressor,1,47.2,0,524.7
77.01,2.941,32.73,2823.0,79.03,4183.3,noite,CNC,1,43.7,0,684.9
77.9,2.423,33.36,1440.0,63.46,2666.8,manha,prensa,1,64.5,0,629.4
76.82,2.923,28.66,2697.0,57.58,1878.8,manha,CNC,2,10.5,0,666.6
79.28,2.578,35.16,2110.0,59.95,1399.4,manha,compressor,5,34.9,0,687.9
80.51,3.232,36.46,2482.0,78.82,3510.7,noite,CNC,3,97.2,0,513.9
78.37,2.66,34.01,2711.0,79.5,907.8,noite,CNC,2,12.2,0,655.6
74.87,2.324,33.2,2703.0,75.25,1911.5,tarde,CNC,1,13.6,0,604.5
74.34,3.25,30.91,2781.0,52.07,1704.5,noite,CNC,6,37.9,0,604.2
81.04,2.503,32.77,2897.0,69.42,865.5,noite,CNC,0,52.8,0,652.5
64.86,3.248,27.82,2804.0,46.7,2170.5,noite,CNC,2,62.0,0,361.7
88.2,3.245,40.23,2473.0,86.84,2038.4,noite,bomba,3,158.3,0,355.8
73.44,2.512,30.57,2385.0,62.13,1205.4,tarde,bomba,1,63.5,0,434.4
84.69,3.295,30.81,1989.0,81.16,4751.0,noite,compressor,3,69.3,0,364.0
74.71,2.7,30.49,2147.0,60.13,3525.0,tarde,compressor,1,109.2,0,604.7
65.33,1.863,26.58,2500.0,35.7,2348.4,tarde,bomba,1,28.0,0,683.5
76.17,2.794,25.48,1604.0,37.59,3841.3,manha,esteira,1,71.0,0,576.1
79.05,3.597,30.98,1354.0,77.18,4372.1,noite,esteira,3,83.7,0,362.3
79.0,3.006,31.1,2487.0,65.83,4874.0,noite,CNC,2,76.1,0,479.2
79.91,2.524,38.97,2579.0,88.19,1452.6,manha,CNC,1,62.0,0,420.5
91.16,3.193,30.85,2720.0,74.76,3840.5,noite,CNC,2,59.0,0,433.5
79.98,2.384,29.46,2675.0,73.4,2043.9,manha,CNC,0,22.7,0,600.2
69.78,1.682,24.13,2616.0,42.22,2611.5,manha,bomba,2,41.1,0,540.0
81.15,3.214,31.81,1922.0,55.76,1502.6,manha,compressor,1,135.1,0,240.0
84.3,2.541,31.38,2509.0,84.73,2280.8,noite,CNC,4,34.3,0,548.4
79.48,3.082,32.31,2039.0,68.26,3872.8,tarde,compressor,4,55.2,0,512.2
75.21,2.848,30.56,2316.0,58.95,5582.8,manha,bomba,1,52.7,0,438.8
60.67,2.328,22.05,2534.0,25.85,2144.1,tarde,CNC,3,71.0,0,788.5
68.21,1.405,23.86,1549.0,48.7,1232.9,manha,esteira,0,52.4,0,705.1
81.2,3.997,35.09,2631.0,82.31,6056.0,tarde,CNC,0,46.4,0,350.8
83.43,3.327,31.44,1044.0,75.2,1414.3,noite,prensa,4,95.2,0,443.2
76.95,2.664,32.25,2578.0,69.56,654.9,tarde,CNC,2,63.4,0,595.2
77.95,1.847,29.01,1611.0,65.5,1583.9,noite,esteira,2,59.1,0,445.4
77.74,2.216,32.41,1227.0,67.52,370.0,tarde,prensa,0,36.1,0,723.6
80.04,3.097,34.49,1104.0,80.57,4249.5,noite,prensa,2,41.9,0,500.1
86.28,2.763,32.69,1472.0,84.78,553.6,manha,esteira,3,65.2,0,266.4
81.32,3.232,37.1,1334.0,89.55,1350.7,manha,esteira,1,101.2,0,241.4
75.7,2.34,27.45,2613.0,50.18,1016.6,manha,bomba,2,123.3,0,543.3
67.93,2.985,29.22,1627.0,57.11,2464.5,tarde,esteira,2,68.8,0,548.4
86.25,3.344,33.29,2878.0,72.02,5584.3,tarde,CNC,1,176.1,0,240.0
65.38,2.403,28.66,2409.0,47.19,3037.7,noite,bomba,1,44.6,0,593.3
76.08,2.453,26.49,2376.0,38.65,896.7,manha,bomba,2,44.4,0,502.8
80.31,2.666,31.23,1344.0,63.23,7262.6,manha,esteira,2,114.0,0,240.0
